unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1.64082E+12,12/30/2021 0:00,ETH/USDT,3628.49,3638.91,3602.37,3608.18,36737.869,133058221.5,42584
1.64082E+12,12/29/2021 23:00,ETH/USDT,3722.2,3735.37,3600.45,3628.55,221262.994,807096078.7,247881
1.64082E+12,12/29/2021 22:00,ETH/USDT,3725.57,3745.61,3710.52,3722.21,32492.329,121087701.5,47766
1.64081E+12,12/29/2021 21:00,ETH/USDT,3744.85,3747.7,3704.05,3725.57,45104.299,167740262.3,61456
1.64081E+12,12/29/2021 20:00,ETH/USDT,3724.25,3767.09,3716.67,3744.71,54290.233,203375111.8,64532
1.6408E+12,12/29/2021 19:00,ETH/USDT,3751.84,3753.5,3710,3724.25,45798.261,170803639.9,63917
1.6408E+12,12/29/2021 18:00,ETH/USDT,3752.53,3774.63,3742.8,3751.67,33941.379,127555508.2,45500
1.6408E+12,12/29/2021 17:00,ETH/USDT,3782,3782,3746.03,3752.53,28408.075,106873206.1,46039
1.64079E+12,12/29/2021 16:00,ETH/USDT,3792.78,3796.72,3768.03,3782,39886.395,150797492.1,52978
1.64079E+12,12/29/2021 15:00,ETH/USDT,3779.99,3799,3770.67,3792.77,51149.613,193592878,72332
1.64079E+12,12/29/2021 14:00,ETH/USDT,3753.79,3789.49,3742.77,3779.99,90257.957,340043873.4,117759
1.64078E+12,12/29/2021 13:00,ETH/USDT,3726.89,3764,3693.8,3753.79,129618.601,482509124.7,167257
1.64078E+12,12/29/2021 12:00,ETH/USDT,3789.78,3791.32,3720.99,3726.88,141188.928,528689439.5,184567
1.64078E+12,12/29/2021 11:00,ETH/USDT,3792.31,3797.44,3773.89,3789.66,30850.737,116760269.9,53764
1.64077E+12,12/29/2021 10:00,ETH/USDT,3813.16,3820.2,3786.49,3792.29,45910.117,174648022,61207
1.64077E+12,12/29/2021 9:00,ETH/USDT,3795.89,3824.93,3765.49,3813.16,83065.392,314964801.4,103069
1.64076E+12,12/29/2021 8:00,ETH/USDT,3795.5,3808,3785.32,3795.89,34898.279,132535487.9,52961
1.64076E+12,12/29/2021 7:00,ETH/USDT,3801.22,3804.37,3785.13,3795.5,25216.147,95677358.05,45785
1.64076E+12,12/29/2021 6:00,ETH/USDT,3800.93,3808,3789.82,3801.21,19432.392,73825211.39,37887
1.64075E+12,12/29/2021 5:00,ETH/USDT,3801.62,3811.25,3787.1,3800.93,27750.748,105414695.6,48988
1.64075E+12,12/29/2021 4:00,ETH/USDT,3814.62,3819.99,3799.8,3801.62,23613.164,89922494.63,41057
1.64075E+12,12/29/2021 3:00,ETH/USDT,3816.84,3825.91,3811.08,3814.62,18746.223,71558762.26,36752
1.64074E+12,12/29/2021 2:00,ETH/USDT,3799.71,3818.86,3797,3816.84,20017.199,76297056.88,47694
1.64074E+12,12/29/2021 1:00,ETH/USDT,3817.04,3825,3795,3799.79,30293.907,115397637,48714
1.64074E+12,12/29/2021 0:00,ETH/USDT,3792,3819,3783,3817.05,44994.362,171141698.6,61929
1.64073E+12,12/28/2021 23:00,ETH/USDT,3808.65,3817.56,3788.94,3791.99,29867.521,113622075.4,50515
1.64073E+12,12/28/2021 22:00,ETH/USDT,3805.95,3815.43,3790.56,3808.64,34333.668,130589979.2,54803
1.64073E+12,12/28/2021 21:00,ETH/USDT,3824.15,3834.67,3803.28,3805.95,34354.71,131182581.3,55609
1.64072E+12,12/28/2021 20:00,ETH/USDT,3806.3,3841.23,3790.64,3824.16,56628.201,216114848,78466
1.64072E+12,12/28/2021 19:00,ETH/USDT,3799.2,3812.92,3756.26,3806.29,82214.893,311088875,112821
1.64071E+12,12/28/2021 18:00,ETH/USDT,3824.46,3824.47,3783.41,3799.21,77597.129,294874104.5,101168
1.64071E+12,12/28/2021 17:00,ETH/USDT,3863,3865.51,3775.65,3824.47,168548.314,642189164.7,212430
1.64071E+12,12/28/2021 16:00,ETH/USDT,3896.3,3900.12,3829.02,3863,133670.939,515927348.4,167886
1.6407E+12,12/28/2021 15:00,ETH/USDT,3909.52,3920.57,3893.01,3896.3,46757.938,182635510.3,72352
1.6407E+12,12/28/2021 14:00,ETH/USDT,3906.44,3914.26,3842.3,3909.53,127461.576,495546872.7,156909
1.6407E+12,12/28/2021 13:00,ETH/USDT,3905.99,3922.93,3901.69,3906.45,33112.73,129540924.5,57221
1.64069E+12,12/28/2021 12:00,ETH/USDT,3918.84,3931.8,3904.82,3905.96,39610.817,155170630,66171
1.64069E+12,12/28/2021 11:00,ETH/USDT,3901.37,3921.46,3892.64,3918.84,35935.655,140557419,61204
1.64069E+12,12/28/2021 10:00,ETH/USDT,3884.56,3906.73,3884.55,3901.36,48256.728,188143120.3,70399
1.64068E+12,12/28/2021 9:00,ETH/USDT,3914.7,3920,3880,3884.55,67174.776,261907280.6,97099
1.64068E+12,12/28/2021 8:00,ETH/USDT,3914.52,3932,3895.46,3914.7,62195.677,243618652.2,73672
1.64067E+12,12/28/2021 7:00,ETH/USDT,3920.43,3928,3899.24,3914.53,39464.624,154385665.7,61457
1.64067E+12,12/28/2021 6:00,ETH/USDT,3918.48,3933.19,3910.61,3920.42,35278.074,138357865.6,61470
1.64067E+12,12/28/2021 5:00,ETH/USDT,3909.75,3924.99,3898.06,3918.47,41362.79,161849114.8,71337
1.64066E+12,12/28/2021 4:00,ETH/USDT,3959.71,3959.71,3871.02,3909.76,146413.695,572253470.9,184976
1.64066E+12,12/28/2021 3:00,ETH/USDT,3967.15,3967.16,3930.76,3959.72,68414.085,270019152.5,105842
1.64066E+12,12/28/2021 2:00,ETH/USDT,3979.78,3993.92,3954.61,3967.16,60443.226,240187059.9,93288
1.64065E+12,12/28/2021 1:00,ETH/USDT,4027.27,4027.27,3966.18,3979.77,114109.093,455864566.7,140876
1.64065E+12,12/28/2021 0:00,ETH/USDT,4037.35,4037.36,4002.1,4027.27,91996.673,369732036.5,121484
1.64065E+12,12/27/2021 23:00,ETH/USDT,4062.47,4068.06,4030.06,4037.36,55060.367,222680090,77514
1.64064E+12,12/27/2021 22:00,ETH/USDT,4058.41,4074,4043.28,4062.48,35559.754,144344641,55709
1.64064E+12,12/27/2021 21:00,ETH/USDT,4090.42,4091.62,4054.77,4058.35,30845.215,125636074.1,46220
1.64064E+12,12/27/2021 20:00,ETH/USDT,4078,4091.62,4070.1,4090.42,33709.322,137542851.7,47655
1.64063E+12,12/27/2021 19:00,ETH/USDT,4098.22,4099.08,4074.81,4078.01,37248.236,152159771.3,60797
1.64063E+12,12/27/2021 18:00,ETH/USDT,4114.77,4124.39,4090.6,4098.22,43791.786,179796405.4,67019
1.64062E+12,12/27/2021 17:00,ETH/USDT,4089.29,4126,4087.26,4114.77,64261.293,264168100.3,90222
1.64062E+12,12/27/2021 16:00,ETH/USDT,4091.34,4099.88,4076,4089.29,34008.549,138964314.8,57773
1.64062E+12,12/27/2021 15:00,ETH/USDT,4093.19,4113.9,4085,4091.33,46095.516,188909454.9,79176
1.64061E+12,12/27/2021 14:00,ETH/USDT,4088.59,4100,4081.14,4093.19,43389.289,177566732.1,75467
1.64061E+12,12/27/2021 13:00,ETH/USDT,4080,4096.68,4070.53,4088.58,43795.481,178931617.3,72833
1.64061E+12,12/27/2021 12:00,ETH/USDT,4059.7,4094,4042.8,4080,75033.811,305785513.8,95535
1.6406E+12,12/27/2021 11:00,ETH/USDT,4058.46,4065.77,4053.5,4059.69,19910.658,80829417.55,40337
1.6406E+12,12/27/2021 10:00,ETH/USDT,4052,4061.47,4049.85,4058.46,24396.701,98958767.16,41424
1.6406E+12,12/27/2021 9:00,ETH/USDT,4037.41,4055.41,4033.04,4052.01,35733.39,144494435,61835
1.64059E+12,12/27/2021 8:00,ETH/USDT,4051.16,4063.14,4033,4037.4,35978.878,145705478.3,65196
